"decimalYear","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1956.192308,75,5,2,0,4,3,50,3,4,3,0,3,4,12,2,5,5,63,110,30,105,33,307,10,12,13,41,0,29,2,2,15,0,9,0,18,5,12,1,13
1956.230769,94,8,2,2,24,2,52,3,4,2,0,3,2,18,1,4,7,43,145,20,107,5,253,6,7,5,72,1,23,2,4,12,2,4,4,64,10,15,0,7
1956.269231,75,13,3,0,28,1,19,5,1,4,3,5,1,25,1,3,5,108,197,18,65,8,154,12,1,20,62,2,9,2,15,12,4,5,3,62,13,6,0,2
1956.307692,38,9,4,6,11,2,22,15,5,5,2,2,0,30,0,4,5,176,174,18,95,11,84,7,1,14,77,0,2,1,4,7,0,4,1,69,18,0,1,6
1956.346154,50,6,4,4,2,6,14,18,2,10,4,12,0,36,0,6,2,236,332,12,94,0,104,10,0,4,104,0,8,0,2,12,2,20,2,52,6,0,4,2
1956.384615,43,16,4,0,4,6,50,34,4,1,0,1,0,60,0,5,4,318,455,13,92,6,122,15,2,7,94,0,1,0,4,18,3,5,12,65,7,1,1,1
1956.423077,44,13,7,3,3,2,73,30,4,5,0,7,0,139,0,11,7,395,633,23,89,6,199,3,2,2,62,0,0,2,3,23,8,8,2,55,3,3,1,0
1956.461538,42,18,4,1,7,1,77,47,1,4,1,7,1,133,1,8,5,395,562,44,72,13,187,7,1,0,40,2,0,1,2,27,7,11,0,69,3,8,1,0
1956.5,28,20,7,0,40,6,82,45,2,2,3,6,0,124,3,8,9,504,672,30,64,12,115,15,0,2,24,0,1,1,7,20,3,13,2,71,9,20,1,1
1956.538462,12,13,3,2,60,15,46,30,2,9,0,4,0,157,15,14,1,532,650,31,41,4,73,3,0,1,36,1,1,1,6,30,3,0,5,48,7,8,2,3
1956.576923,9,20,8,6,52,7,73,24,0,3,1,4,1,218,43,8,7,381,483,44,41,2,63,4,0,1,33,2,0,0,4,59,3,1,0,38,2,3,2,3
1956.615385,14,14,2,4,80,4,38,42,4,0,2,2,0,144,24,8,2,304,490,54,36,6,40,2,6,2,30,4,0,6,2,68,2,2,4,44,12,6,0,2
1956.653846,6,15,4,4,37,3,17,20,1,4,3,5,3,157,42,6,8,242,358,41,42,2,19,3,0,1,19,9,1,3,5,31,0,5,1,22,4,7,1,3
